text,label
"Congratulations! You've won a free vacation! Click now!",spam
"Hey, are we still on for lunch tomorrow?",ham
"URGENT: Your account has been compromised. Click the link to verify your information.",spam
"Here is the report you requested for the Q3 meeting.",ham
"Buy cheap pharmaceuticals online with our exclusive discount.",spam
"Meeting at 3 PM in the conference room. Don't be late.",ham
"Can you review this document when you have a moment?",ham
"Limited time offer! Get 50% off all products today only!",spam
"Happy birthday! Hope you have a great day filled with joy.",ham
"You have been selected for a special prize. Claim it now!",spam
